INFO  - 2015-11-02 01:15:57.767; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4339655/dallas-texas-handguns-for-sale--italian-92fs (1516718792655241216)]} 0 1
INFO  - 2015-11-02 01:15:57.786; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4317952/huntsville-alabama-handguns-for-sale--colt-frontier-scout- (1516718792676212736)]} 0 1
INFO  - 2015-11-02 01:15:57.804; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4461456/oklahoma-city-oklahoma-rifles-for-sale--anderson-customer-ar15-5-56-223 (1516718792695087104)]} 0 0
INFO  - 2015-11-02 01:15:57.821; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4491456/omaha-nebraska-gun-parts-want-to-buy--i-need-ar15--lower- (1516718792712912896)]} 0 0
INFO  - 2015-11-02 01:15:57.838; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4409647/oklahoma-city-oklahoma-handguns-for-sale--ruger-sp101 (1516718792730738688)]} 0 0
INFO  - 2015-11-02 01:15:57.855; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4387081/houston-texas-rifles-for-sale--10-5-inch-compelete-aero-precision-ar-- (1516718792748564480)]} 0 0
INFO  - 2015-11-02 01:15:57.874; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4320665/greensboro-north-carolina-rifles-want-to-buy---22-rifle-nothing-special-- (1516718792768487424)]} 0 1
INFO  - 2015-11-02 01:15:57.891; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4408156/palm-beach-rifles-for-sale--mossberg-715t-ar-15--22 (1516718792786313216)]} 0 0
INFO  - 2015-11-02 01:15:57.908; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4480170/minnesota-handguns-for-sale--colt-new-service-model-1917- (1516718792804139008)]} 0 0
INFO  - 2015-11-02 01:15:57.925; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4327151/orange-county-rifles-for-sale--savage-ba-110-338-lapua-cammo-with-scope-and-harris-bi-pod (1516718792821964800)]} 0 0
INFO  - 2015-11-02 01:15:57.943; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/3782986/harrisonburg-rifles-want-to-buy--lever-action-22lr-or-22mag (1516718792840839168)]} 0 1
INFO  - 2015-11-02 01:15:57.960; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4255655/fresno-california-ammo-for-sale--5-56-223-for-sale--bulk-buys-include-ammo-can- (1516718792857616384)]} 0 1
INFO  - 2015-11-02 01:15:57.977; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4271979/charlotte-north-carolina-handguns-for-sale--kahr-p45 (1516718792876490752)]} 0 1
INFO  - 2015-11-02 01:15:57.994; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4491390/jacksonville-north-carolina-handguns-for-sale--glock-36---45-caliber- (1516718792894316544)]} 0 0
INFO  - 2015-11-02 01:15:58.012; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4355633/montgomery-alabama-handguns-for-sale--full-size-smith-and-wesson-m-p9 (1516718792913190912)]} 0 1
INFO  - 2015-11-02 01:15:58.029; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4495534/northern-ky-handguns-for-sale--smith----wesson-airweight (1516718792931016704)]} 0 1
INFO  - 2015-11-02 01:15:58.046; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4411143/denver-colorado-optics-for-sale--vortex-viper-pst-4-16x50-ffp-ebr-1-mrad (1516718792947793920)]} 0 1
INFO  - 2015-11-02 01:15:58.062; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4443243/california-nfa-firearms-for-sale--cooper-firearms (1516718792965619712)]} 0 0
INFO  - 2015-11-02 01:15:58.080; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4423096/harrisburg-pennsylvania-rifles-for-sale--zastava-yugo-sks (1516718792983445504)]} 0 1
INFO  - 2015-11-02 01:15:58.096; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4426176/tampa-handguns-for-sale--springfield-xd-45acp (1516718793001271296)]} 0 0
INFO  - 2015-11-02 01:15:58.113; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4385001/tampa-handguns-for-sale--colt---springfield-1911-gold-cup-national-match-burnt-bronze (1516718793019097088)]} 0 0
INFO  - 2015-11-02 01:15:58.130; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4467835/medford-oregon-ammo-for-sale-trade--498-rounds-of-5-45x39mm-ammo (1516718793036922880)]} 0 0
INFO  - 2015-11-02 01:15:58.147; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4240428/indianiapolis-indiana-optics-for-sale--trijicon-tripower--red-chevron (1516718793054748672)]} 0 0
INFO  - 2015-11-02 01:15:58.165; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4353009/detroit-michigan-tactical-gear-for-sale--new-ar-15-parts-and-accessories- (1516718793073623040)]} 0 0
INFO  - 2015-11-02 01:15:58.182; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4435042/columbus-ohio-handguns-for-sale-----price-drop--150-00-to-sell-today----glock-20-gen-4-lnib-with-all-accessories---enhancements (1516718793091448832)]} 0 0
INFO  - 2015-11-02 01:15:58.199; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4465422/racine-wisconsin-rifles-for-sale--springfield-1898--30-40-krag (1516718793109274624)]} 0 0
INFO  - 2015-11-02 01:15:58.216; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4353564/south-west-florida-handguns-for-sale--kimber-custom-shop-cdp-ultra-ii-9mm-3--1911 (1516718793127100416)]} 0 1
INFO  - 2015-11-02 01:15:58.233; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4172647/indianiapolis-indiana-handguns-for-sale--glock-19-black- (1516718793144926208)]} 0 1
INFO  - 2015-11-02 01:15:58.250; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4498632/austin-texas-handguns-for-sale-trade--smith-m-p9c (1516718793162752000)]} 0 0
INFO  - 2015-11-02 01:15:58.266; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4398272/houston-texas-handguns-for-sale--taurus-357-mag--3- (1516718793179529216)]} 0 1
INFO  - 2015-11-02 01:15:58.284; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4337081/roanoke-virginia-handguns-for-sale--ruger-sr9-stainless (1516718793197355008)]} 0 1
INFO  - 2015-11-02 01:15:58.300; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4485862/california-handguns-for-sale--fnh-five-seven-5-7x28mm (1516718793215180800)]} 0 0
INFO  - 2015-11-02 01:15:58.317; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4229185/montgomery-alabama-rifles-for-sale--ar-15 (1516718793233006592)]} 0 0
INFO  - 2015-11-02 01:15:58.335; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/3986198/pennsylvania-handguns-for-sale--a-pair-of-2-amt-stainless-steel--backup--380 (1516718793251880960)]} 0 0
